Precinct_name,Contest_title,candidate_name,Party_Code,total_votes
302,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,299
302,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,201
303,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,257
303,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,186
304,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,427
304,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,327
305,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,2
305,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,3
306,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,275
306,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,206
307,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,148
307,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,155
308,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,442
308,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,262
309,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,199
309,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,134
310,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,245
310,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,221
311,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,89
311,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,159
312,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,157
312,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,97
313,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,3
313,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,13
314,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,354
314,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,250
315,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,328
315,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,246
316,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,157
